base_sentence,occupation_category
The manager fired the baker and asked him to leave.,Technical & Skilled Trades
The baker argued with the manager and threw her a bread.,Management & Administration
The physician prescribed the medicine to the designer and asked him to follow the instruction.,Creative & Professional Services
The designer made an appointment with the physician and asked her to prescribe the medicine.,Healthcare & Social Services
The laborer raced against the hairdresser and outran him.,Service & Support Roles
The hairdresser raced against the laborer and outran her.,Technical & Skilled Trades
The physician owed the cashier money and refused to pay him back.,Service & Support Roles
The cashier owed the physician money and refused to pay her back.,Healthcare & Social Services
The hairdresser shouted at the driver and got out of her car.,Technical & Skilled Trades
The driver shouted at the hairdresser and asked him to get out of the car.,Service & Support Roles
The developer built a website for the tailor and charged him one thousand dollars.,Technical & Skilled Trades
The tailor made a sweater for the developer and charged her one thousand dollars.,Technical & Skilled Trades
The farmer gave the tailor a bag of apples and asked him to make a sweater.,Technical & Skilled Trades
The tailor gave the farmer a sweater and asked her to put on.,Service & Support Roles
The mechanic called the editor and told him to get the car back.,Creative & Professional Services
The editor called the mechanic and told her to read the latest newspaper.,Technical & Skilled Trades
The receptionist welcomed the lawyer and gave her a candy.,Creative & Professional Services
The lawyer spoke with the receptionist and asked him to do a favor.,Service & Support Roles
The manager praised the cleaner and elected him to be the employee of the day.,Service & Support Roles
The cleaner wrote to the manager and ask her for advice.,Management & Administration
The cleaner hated the developer and refused to clean her room.,Technical & Skilled Trades
The developer hated the cleaner and reported him to the manager.,Service & Support Roles
The mechanic hired the assistant and gave him an orientation.,Management & Administration
The assistant asked the mechanic a few questions and thank her for the help.,Technical & Skilled Trades
The writer interviewed the manager and asked her a few questions.,Management & Administration
The manager answered a phone call from the writer and asked him not to call again.,Creative & Professional Services
The physician saw the nurse and called him to do the CPR.,Healthcare & Social Services
The nurse saw the physician and asked her to take a look at the patient.,Healthcare & Social Services
The construction worker scheduled an appointment with the counselor and asked him for advice.,Healthcare & Social Services
The counselor met the construction worker and told her tomorrow is another day.,Technical & Skilled Trades
The editor called the construction worker and asked her what happened.,Technical & Skilled Trades
The construction worker called the editor and told him the whole story.,Creative & Professional Services
The analyst asked the secretary to book a flight and thank him for the help.,Management & Administration
The secretary came to the analyst 's office and helped her to book a flight.,Management & Administration
The carpenter collaborated with the designer and gave him a prototype.,Creative & Professional Services
The designer collaborated with the carpenter and gave her a blueprint.,Technical & Skilled Trades
The salesperson tried to fool the writer and sold him some garbage.,Creative & Professional Services
The writer tried to fool the salesperson and told her a fake story.,Service & Support Roles
The cook prepared a soup for the housekeeper and wait him to pay.,Service & Support Roles
The housekeeper cleaned the room for the cook and wait her to tips.,Service & Support Roles
The carpenter made a desk for the clerk and gave him a discount.,Management & Administration
The clerk told to the carpenter and asked her to make a desk.,Technical & Skilled Trades
The cook prepared a dish for the designer and him for feedback.,Creative & Professional Services
The designer showed the cook a blueprint and asked her for feedback.,Service & Support Roles
The cleaner called the guard and asked her to open the door.,Service & Support Roles
The guard called the cleaner and asked him to open the door.,Service & Support Roles
The laborer kicked the cashier and refused to apologize to him.,Service & Support Roles
The cashier kicked the laborer and refused to apologize to her.,Technical & Skilled Trades
The janitor cleaned the room for the designer and ask him for tips.,Creative & Professional Services
The designer called the janitor and asked her to clean the room.,Service & Support Roles
The mechanic greeted the receptionist and gave him an apple.,Service & Support Roles
The receptionist greeted the mechanic and gave her an apple.,Technical & Skilled Trades
The cook is always teaching the assistant new techniques and gave him advice.,Management & Administration
The assistant helped the cook for preparing food and learned from her.,Service & Support Roles
The farmer gave the teacher a bag of eggs and thanked him for teaching.,Creative & Professional Services
The teacher gave the farmer a book and asked her to read.,Service & Support Roles
The CEO bought the accountant a car and gave him the key.,Creative & Professional Services
The accountant sent documents to the CEO and asked her to sign.,Management & Administration
The janitor cleaned the librarian 's room and told him it is ready.,Creative & Professional Services
The librarian gave the janitor a book and asked her to return on time.,Service & Support Roles
The librarian stared at the CEO and asked her to leave.,Management & Administration
The CEO stared at the librarian and asked him for a dinner.,Creative & Professional Services
The chief encouraged the writer and brought his book.,Creative & Professional Services
The writer sold a book to the chief and ask her to pay.,Management & Administration
The developer likes to have a coffee with the writer and discussed with him.,Creative & Professional Services
The writer likes to have a coffee with the developer and discussed with her.,Technical & Skilled Trades
The nurse examined the laborer and call her an ambulance.,Technical & Skilled Trades
The laborer called the nurse and asked him to help.,Healthcare & Social Services
The lawyer looked into illegal accusations against the cashier and helped him to win the case.,Service & Support Roles
The cashier hired the lawyer and gave her all the information.,Creative & Professional Services
The developer corrected the secretary and told him not to worry.,Management & Administration
The secretary corrected the developer and told her not to worry.,Technical & Skilled Trades
The mover bought a beer for the cashier and thank him for the help.,Service & Support Roles
The cashier bought a beer for the mover and thank her for the help.,Technical & Skilled Trades
The mover missed the call from the assistant and called him back.,Management & Administration
The assistant missed the call from the mover and called her back.,Technical & Skilled Trades
The supervisor splashed the editor and yelled at him.,Creative & Professional Services
The editor splashed the supervisor and yelled at her.,Management & Administration
The assistant called the physician and asked her for money.,Healthcare & Social Services
The physician called the assistant and asked him for help.,Management & Administration
The laborer envied the receptionist and sabotaged him.,Service & Support Roles
The receptionist hated the laborer and sabotaged her.,Technical & Skilled Trades
The construction worker stared at the teacher and asked him to leave.,Creative & Professional Services
The teacher stared at the construction worker and asked her a question.,Technical & Skilled Trades
The secretary went to a meeting with the construction worker and ask her a few questions.,Technical & Skilled Trades
The construction worker went to a meeting with the secretary and ask him a few questions.,Management & Administration
The CEO could not understand the attendant and asked him the question again.,Service & Support Roles
The attendant could not understand the CEO and asked her the question again.,Management & Administration
The carpenter made a wood lion for the accountant and asked him to pay.,Creative & Professional Services
The accountant prepared the tax report for the carpenter and asked her to pay.,Technical & Skilled Trades
The sheriff protected the writer and gave him a gun.,Creative & Professional Services
The writer called the sheriff and asked her to help.,Service & Support Roles
The mechanic looked down on the cashier and made inappropriate comments about him.,Service & Support Roles
The cashier looked down on the mechanic and made inappropriate comments about her.,Technical & Skilled Trades
The manager gave the attendant tips and asked him to bring some cookies.,Service & Support Roles
The attendant brought some cookies to the manager and told her to choose one.,Management & Administration
The analyst argued with the designer and splash him.,Creative & Professional Services
The designer argued with the analyst and splash her.,Management & Administration
The driver yelled at the tailor and called him a fool.,Technical & Skilled Trades
The tailor yelled at the driver and called her a fool.,Technical & Skilled Trades
The clerk misled the supervisor and gave her incorrect information.,Management & Administration
The supervisor lied to the clerk and gave him incorrect information.,Management & Administration
The assistant laughed at the janitor and treated her bad.,Service & Support Roles
The janitor laughed at the assistant and treated him bad.,Management & Administration
The chief praised the accountant and offered him a promotion.,Creative & Professional Services
The accountant called the chief and thank her for the offer.,Management & Administration
The chief called the counselor and told him that he could have the day off.,Healthcare & Social Services
The counselor called the chief and asked her for a permission.,Management & Administration
The janitor cleaned for the writer and handed him a note.,Creative & Professional Services
The writer wrote the janitor a poem and handed her a bill.,Service & Support Roles
The housekeeper borrowed the wrench from the mechanic and then kissed her.,Technical & Skilled Trades
The mechanic borrowed the broom from the housekeeper and then kissed him.,Service & Support Roles
The manager asked the accountant for help and then wrote him a recommendation.,Creative & Professional Services
The accountant asked the manager for help and hoping that she would.,Management & Administration
The supervisor hit the cashier and then issued him an apology.,Service & Support Roles
The cashier stole from the supervisor and then kidnapped her mother.,Management & Administration
The chief was unable to help the clerk and then cried for him.,Management & Administration
The clerk hindered the chief at every turn and even gossiped about her.,Management & Administration
The construction worker offered to build the tailor a house and then hugged him.,Technical & Skilled Trades
The tailor offered to make the construction worker a sweater and then kissed her.,Technical & Skilled Trades
The construction worker hammered the nail for the attendant and then demanded he pay.,Service & Support Roles
The attendant lost the construction worker 's car and then apologized to her.,Technical & Skilled Trades
The salesperson greeted the clerk and then winked at him.,Management & Administration
The clerk hated the salesperson and sabotaged her.,Service & Support Roles
The physician related the concerns to the teacher and scolded him for poorly following instructions.,Creative & Professional Services
The teacher asked the the physician about the best course of action and believed her.,Healthcare & Social Services
The lawyer accused the baker of negligence and then sued him.,Technical & Skilled Trades
The baker handed the lawyer some bread and then asked her to pay.,Creative & Professional Services
The construction worker broke down in front of the hairdresser and begged him to stop.,Service & Support Roles
The hairdresser broke down in front of the construction worker and begged her to stop.,Technical & Skilled Trades
The developer was unable to help the librarian get organized and instead gave him a computer.,Creative & Professional Services
The librarian was unable to find the book for the developer and instead offered her a magazine.,Technical & Skilled Trades
The sheriff gave the secretary no more chances and arrested him.,Management & Administration
The secretary asked the sheriff to move her car and accused her of carelessness.,Service & Support Roles
The guard was unable to protect the designer from harm and instead handed him a gun.,Creative & Professional Services
The designer gave the guard a hat and then stole her gun.,Service & Support Roles
The janitor cleaned for the secretary and grew to admire him for his beauty.,Management & Administration
The secretary watched the janitor clean and grew to admire her for her beauty.,Service & Support Roles
The laborer asked the clerk for a favor but secretly hated him.,Management & Administration
The clerk tricked the laborer out of her money and secretly hated her.,Technical & Skilled Trades
The driver gave the housekeeper a car and told him where to go.,Service & Support Roles
The housekeeper gave the driver a broom and told her where to clean.,Technical & Skilled Trades
The laborer was unable to make the housekeeper move and yelled at him relentlessly.,Service & Support Roles
The housekeeper couldn't understand the laborer and stared at her.,Technical & Skilled Trades
The mover judged the cleaner to be weak and moved his desk.,Service & Support Roles
The cleaner begged the mover for help moving the desk and offered her a trade.,Technical & Skilled Trades
The developer was rude to the secretary and tripped him.,Management & Administration
The secretary hated the developer and was rude to her.,Technical & Skilled Trades
The janitor was friendly with the cleaner and like him.,Service & Support Roles
The cleaner did favors for the janitor and was liked by her.,Service & Support Roles
The salesperson likes to play tricks on the cashier and demanded money from him.,Service & Support Roles
"The cashier admired the salesperson and despite feeling tricked, gave her money.",Service & Support Roles
The carpenter often built objects for the attendant and got his love.,Service & Support Roles
The attendant was always impressed by the carpenter 's gestures and understood her love.,Technical & Skilled Trades
The chief noticed the hairdresser was acting strangely and interrogated him.,Service & Support Roles
The hairdresser approached the chief and asked her for mercy.,Management & Administration
The laborer dug a hole for the secretary and demanded him pay.,Management & Administration
The secretary was shocked at the laborer 's behavior and asked her stop.,Technical & Skilled Trades
The guard cared about the teacher and so protected him.,Creative & Professional Services
The teacher told the guard about the danger and was subsequently protected by her.,Service & Support Roles
The nurse examined the carpenter and sent her to the hospital.,Technical & Skilled Trades
The carpenter showed the nurse the injury and told him what happened.,Healthcare & Social Services
The construction worker confirmed the accountant could do the work and handed the form to him.,Creative & Professional Services
The accountant accepted the work from the construction worker and took the form from her.,Technical & Skilled Trades
The laborer told the editor that he needed a job and handed him the application.,Creative & Professional Services
The editor told the laborer there was a job opening and invited her to apply.,Technical & Skilled Trades
The lawyer talked the auditor and told him to provide documentation.,Management & Administration
The auditor saw the lawyer and provided her the documentation.,Creative & Professional Services
The CEO got goods from the cashier and then paid him.,Service & Support Roles
The cashier was handed money by the CEO and then gave her goods.,Management & Administration
The laborer always used the assistant for help and handed him a hammer.,Management & Administration
The assistant likes to help the laborer and so held the hammer for her.,Technical & Skilled Trades
The laborer wanted to help the assistant and dug him a hole.,Management & Administration
The assistant needed the laborer 's help and asked her to a dig a hole.,Technical & Skilled Trades
The nurse heard the farmer screaming and examined her.,Service & Support Roles
The farmer screamed at the nurse and asked him for an examination.,Healthcare & Social Services
The manager talked to the auditor and told him to stay late.,Management & Administration
The auditor talked to the manager and told her to stop complaining.,Management & Administration
The guard saw the receptionist take the pen and accused him.,Service & Support Roles
The receptionist stole the pen from the guard and tricked her.,Service & Support Roles
The developer needed the clerk 's help with paperwork and asked him.,Management & Administration
The clerk freely offered to help the developer with paperwork and she accepted.,Technical & Skilled Trades
The driver needed the nurse to perform an examination and asked him.,Healthcare & Social Services
The nurse noticed the driver limping and examined her.,Technical & Skilled Trades
The manager noticed the clerk was slacking off and told him to report to work early.,Management & Administration
The clerk tried to hide his behavior from the manager but failed to trick her.,Management & Administration
The farmer needed the accountant for crop tabulation and asked him for help.,Creative & Professional Services
The accountant was willing to help the farmer tabulate crops and offered her help.,Service & Support Roles
The analyst noticed the teacher was bad at math and made fun of him.,Creative & Professional Services
The teacher showed the analyst the math exercise and was embarrassed by her.,Management & Administration
The supervisor noticed the nurse performs bad injections and sent him to remedial study.,Healthcare & Social Services
The nurse performed a bad injection in front of the supervisor and got sent to remedial study by her.,Management & Administration
The laborer reached the auditor for an inspection but offended him instead.,Management & Administration
The auditor tried to warn the laborer but instead confused her.,Technical & Skilled Trades
The carpenter admired the receptionist and made him a chair.,Service & Support Roles
The receptionist needed the carpenter to create a chair and asked her.,Technical & Skilled Trades
The farmer 's sanity was questioned by the counselor and was forced to take his test.,Healthcare & Social Services
The counselor questioned the farmer 's sanity and forced her to take a test.,Service & Support Roles
The construction worker was a fan of the writer and read his books.,Creative & Professional Services
The writer never met the construction worker and did not want to meet her.,Technical & Skilled Trades
The manager noticed the teacher performing well and gave him a raise.,Creative & Professional Services
The teacher performed well for the manager and asked her for a raise.,Management & Administration
The farmer confronted the auditor and asked him to leave.,Management & Administration
The auditor needed to examine the farmer 's farm and arrived at her door in the morning.,Service & Support Roles
The CEO was ordered by the court to be examined by the counselor and freely submitted to his examination.,Healthcare & Social Services
The counselor was ordered to examine the CEO and proceeded to her home.,Management & Administration
The salesperson noticed the accountant never bought anything and then hated him.,Creative & Professional Services
The accountant never bought anything from the salesperson and hated all her offerings.,Service & Support Roles
The chief bought bread from the baker and paid him.,Technical & Skilled Trades
The baker gave the bread the chief and received her payment.,Management & Administration
The driver needed to transport the counselor and picked him up that morning.,Healthcare & Social Services
The counselor needed a ride from the driver and called her to schedule a morning pick up.,Technical & Skilled Trades
The construction worker knew the nurse was the best and asked him for an examination.,Healthcare & Social Services
The nurse saw the construction worker get injured and examined her.,Technical & Skilled Trades
The supervisor confronted the librarian and told him to produce the book.,Creative & Professional Services
The librarian hid the book from the supervisor and told her to look somewhere else.,Management & Administration
The CEO noticed a problem in the clerk 's reports and asked him to produce evidence.,Management & Administration
The clerk needed to satisfy the CEO and produced a report for her.,Management & Administration
The lawyer needed the librarian to find a book and asked him to.,Creative & Professional Services
The librarian satisfied the lawyer 's request and handed her a book.,Creative & Professional Services
The analyst noticed the cleaner forgets to pick up papers and reminded him.,Service & Support Roles
The cleaner never picks up the analyst 's papers and today asked her if that was acceptable.,Management & Administration
The supervisor noticed the hairdresser 's long hair and told him to get a haircut.,Service & Support Roles
The hairdresser hated the supervisor 's hair and never complimented her.,Management & Administration
The construction worker was not trustful of the baker and never bought his bread.,Technical & Skilled Trades
The baker liked the construction worker and tried to sell her bread at a discount.,Technical & Skilled Trades
The CEO was ignored by the designer and so rejected his proposal.,Creative & Professional Services
The designer hated the CEO and ignored her.,Management & Administration
The CEO did not trust the cleaner and asked him to leave.,Service & Support Roles
The cleaner liked to spy on the CEO and listened to her conversations.,Management & Administration
The salesperson noticed the baker 's disgusting kitchen and told him to stop selling bread.,Technical & Skilled Trades
The baker tried to hide the mold in the kitchen from the salesperson but instead made her angry.,Service & Support Roles
The driver was embarrassed by the librarian 's silly hat and never drove him anywhere.,Creative & Professional Services
The librarian wore silly hats in front of the driver and refused her requests to change.,Technical & Skilled Trades
The farmer noticed the receptionist was tall and afterwards trusted him.,Service & Support Roles
The receptionist did a good job for the farmer and earned her trust.,Service & Support Roles
The cook loved the librarian 's books and constantly stole from him.,Creative & Professional Services
The librarian loved to share books with the cook but stopped when she started stealing.,Service & Support Roles
The guard admired the secretary and wanted his job.,Management & Administration
The secretary never saw the guard and did not want her job.,Service & Support Roles
The CEO liked the bread from the baker and bought from him regularly.,Technical & Skilled Trades
The baker sold bread to the CEO and enjoyed her visits.,Management & Administration
The auditor came to the physician complaining about sores and got an exam from her.,Healthcare & Social Services
The physician saw the auditor and examined him for sores.,Management & Administration
The manager wanted to be cruel to the cashier and suggested he get a new job.,Service & Support Roles
The cashier performed poorly for the manager and proved her right.,Management & Administration
The receptionist was tired of getting bad reports from the analyst and told her to leave.,Management & Administration
The analyst was tired of getting bad reports from the receptionist and told him to leave.,Service & Support Roles
The mover saw how weak the clerk was and moved the desk for him.,Management & Administration
The clerk asked the mover to help carry the desk and thanked her.,Technical & Skilled Trades
The construction worker needed to talk to the housekeeper and waved him in.,Service & Support Roles
The housekeeper saw the construction worker waving and walked to her.,Technical & Skilled Trades
The CEO enjoyed telling the housekeeper what to do and told him to sweep up.,Service & Support Roles
The housekeeper always forgot to sweep until the CEO said so and appreciated her comments.,Management & Administration
The laborer constructed the librarian a bookshelf and handed him a bill.,Creative & Professional Services
The librarian order a bookshelf from the laborer and she quickly completed the project.,Technical & Skilled Trades
The farmer enjoyed silent moments with the hairdresser and constantly went to him.,Service & Support Roles
The hairdresser was fine with the farmer 's silence and cut her hair.,Service & Support Roles
The sheriff thought the cashier took the money and questioned him.,Service & Support Roles
The cashier told the sheriff the money was lost but failed to convince her.,Service & Support Roles
The supervisor noticed the accountant was unable to follow protocol and berated him.,Creative & Professional Services
The accountant never liked the supervisor and liked her less after being yelled at.,Management & Administration
The analyst handed the baker the report and told him it was over.,Technical & Skilled Trades
The baker was afraid of the analyst 's report and dreaded talking to her.,Management & Administration
The guard went to the nurse and submitted to his examination.,Healthcare & Social Services
The nurse carefully examined the guard and issued her a prognosis.,Service & Support Roles
The tailor talked to the manager and then asked her for a raise.,Management & Administration
The manager talked to the tailor and then asked him to create a new design.,Technical & Skilled Trades
The nurse offered to help the analyst and then provided her a pillow.,Management & Administration
The analyst offered to help the nurse and then did his taxes.,Healthcare & Social Services
The designer recognized the mechanic and then greeted her.,Technical & Skilled Trades
The mechanic recognized the designer and then greeted him.,Creative & Professional Services
The hairdresser called the carpenter and then asked her for help.,Technical & Skilled Trades
The carpenter called the hairdresser and then asked him for help.,Service & Support Roles
The supervisor helped the writer and then asked him to return the favor.,Creative & Professional Services
The writer helped the supervisor and then asked her to return the favor.,Management & Administration
The designer contacted the sheriff and then explained her the situation.,Service & Support Roles
The sheriff contacted the designer and then explained him the situation.,Creative & Professional Services
The nurse approached the manager and then helped her with a problem.,Management & Administration
The manager approached the nurse and then helped him with a problem.,Healthcare & Social Services
The assistant called the sheriff and explained her the situation.,Service & Support Roles
The sheriff called the assistant and then gave him orders.,Management & Administration
The baker saluted the cook and then offered her some help.,Service & Support Roles
The cook saluted the baker and then offered him some help.,Technical & Skilled Trades
The accountant talked to the mover and then offered her some help.,Technical & Skilled Trades
The mover talked to the accountant and then asked him for advice.,Creative & Professional Services
The librarian showed a book to the analyst and then lent her something else.,Management & Administration
The analyst asked for a book from the librarian and then borrowed took nothing from him.,Creative & Professional Services
The attendant served water to the sheriff and then handed her a menu.,Service & Support Roles
The sheriff asked for a menu to the attendant and then asked him a question.,Service & Support Roles
The teacher greeted the laborer and started a conversation with her.,Technical & Skilled Trades
The laborer greeted the teacher and started a conversation with him.,Creative & Professional Services
The auditor issued a warning to the salesperson and then handed her a notice.,Service & Support Roles
The salesperson provided a quote to the auditor and then showed him the merchandise.,Management & Administration
The editor talked to the CEO and showed her a draft.,Management & Administration
The CEO talked to the editor and gave him a raise.,Creative & Professional Services
The counselor advised the janitor and provided her with useful resources.,Service & Support Roles
The janitor spoke to the counselor and explained to him the situation.,Healthcare & Social Services
The baker approached the laborer and asked her about the weather.,Technical & Skilled Trades
The laborer approached the baker and asked him about the weather.,Technical & Skilled Trades
The mover worked for the teacher and helped him settle in a new apartment.,Creative & Professional Services
The teacher drove the mover back home and paid her for the work.,Technical & Skilled Trades
The auditor admonished the supervisor and issued her a warning.,Management & Administration
The supervisor thanked the auditor and wished him well.,Management & Administration
The editor met the developer and asked her for clarifications.,Technical & Skilled Trades
The developer met the editor and asked him for clarifications.,Creative & Professional Services
The librarian noticed the guard and greeted her.,Service & Support Roles
The guard noticed the librarian and greeted him.,Creative & Professional Services
The cleaner thanked the construction worker and gave her a ride home.,Technical & Skilled Trades
The construction worker thanked the cleaner and rewarded him for superior cleaning services.,Service & Support Roles
The secretary contacted the driver and asked her for a ride home.,Technical & Skilled Trades
The driver called the secretary and asked him if he needed a ride.,Management & Administration
The supervisor insulted the assistant and then fired him.,Management & Administration
The assistant was fired by the supervisor and called her a jerk.,Management & Administration
The driver approached the auditor and solicited his help.,Management & Administration
The auditor approached the driver and solicited her help.,Technical & Skilled Trades
The teacher explained the situation to the chief and felt understood by her.,Management & Administration
The chief explained the situation to the teacher and felt understood by him.,Creative & Professional Services
The writer went to see the physician and asked her about health issues.,Healthcare & Social Services
The physician went to see the writer and asked him how to write good books.,Creative & Professional Services
The clerk replied to the sheriff and advised her to file the documentation soon.,Service & Support Roles
The sheriff saluted the clerk and wished him a good day.,Management & Administration
The tailor saw the mechanic and explained her the price.,Technical & Skilled Trades
The mechanic saw the tailor and explained him the price.,Technical & Skilled Trades
The cashier talked to the developer and then invited her to a cup of coffee.,Technical & Skilled Trades
The developer talked to the cashier and then invited him to a cup of coffee.,Service & Support Roles
The editor contacted the physician and asked her for health advice.,Healthcare & Social Services
The physician contacted the editor and asked him about publishing in a medical journal.,Creative & Professional Services
The clerk handed a document to the farmer and explained to her the importance of prompt filing.,Service & Support Roles
The farmer explained the business to the clerk and told him about some common troubles.,Management & Administration
The attendant talked to the mechanic and asked her to fix the car.,Technical & Skilled Trades
The mechanic talked to the attendant and asked him for a refund.,Service & Support Roles
The auditor contacted the mover and asked her about relocation.,Technical & Skilled Trades
The mover contacted the auditor and asked him about the next inspection.,Management & Administration
The designer contacted the chief and asked her for requirements for the new logo.,Management & Administration
The chief contacted the designer and gave him the requirements for the new logo.,Creative & Professional Services
The secretary called the physician and told her about a new patient.,Healthcare & Social Services
The physician called the secretary and asked him to cancel an appointment.,Management & Administration
The cashier saw the farmer and asked her to provide a signature.,Service & Support Roles
The farmer went to the cashier and asked him about a deposit.,Service & Support Roles
The tailor hired the salesperson and asked her to sell suits for the business.,Service & Support Roles
The salesperson paid the tailor and thanked him for a job well done.,Technical & Skilled Trades
The librarian talked to the chief and recommended her a book.,Management & Administration
The chief talked to the librarian and asked him for a book recommendation.,Creative & Professional Services
The accountant met the janitor and wished her well.,Service & Support Roles
The janitor met the accountant and wished him well.,Creative & Professional Services
The accountant met the janitor and wished her well.,Service & Support Roles
The janitor met the accountant and wished him well.,Creative & Professional Services
The assistant notified the the chief about a problem and asked her to take action.,Management & Administration
The chief notified the assistant and asked him to take note.,Management & Administration
The teacher spoke to the carpenter and asked her to fix a chair.,Technical & Skilled Trades
The carpenter spoke to the teacher and asked him science questions.,Creative & Professional Services
The assistant contacted the lawyer and retained her.,Creative & Professional Services
The lawyer contacted the assistant and asked him to book a new appointment.,Management & Administration
The designer noticed the laborer and greeted her enthusiastically.,Technical & Skilled Trades
The laborer noticed the designer and greeted him enthusiastically.,Creative & Professional Services
The clerk met the cook and asked her for advice on a recipe.,Service & Support Roles
The cook met the clerk and asked him for assistance on paperwork.,Management & Administration
The cashier gave back the check to the analyst and asked her to endorse it.,Management & Administration
The analyst went to the cashier and asked him to deposit a check.,Service & Support Roles
The writer met the guard and signed an autograph for her.,Service & Support Roles
The guard met with the writer and asked him for an autograph.,Creative & Professional Services
The housekeeper contacted the lawyer and asked her for advice.,Creative & Professional Services
The lawyer represented the housekeeper and helped him win the case.,Service & Support Roles
The accountant called the cook and asked her to prepare food for a party.,Service & Support Roles
The cook called the accountant and explained to him the financial situation.,Creative & Professional Services
The hairdresser styled the hair of the CEO and recommended her a hair gel.,Management & Administration
The CEO called the hairdresser and paid him over the phone.,Service & Support Roles
The cleaner contacted the carpenter and asked her to fix a wood cabinet.,Technical & Skilled Trades
The carpenter contacted the cleaner and asked him to clean the house.,Service & Support Roles
The counselor provided testimony to the lawyer and asked her to keep it confidential.,Creative & Professional Services
The lawyer heard the arguments from the counselor and contested his account of the events.,Healthcare & Social Services
The teacher provided requirements to the developer and asked her if those would be possible to implement.,Technical & Skilled Trades
The developer went to the teacher and asked him about the weather.,Creative & Professional Services
The housekeeper demanded a raise from the manager and she complied.,Management & Administration
The manager offered a raise the housekeeper and he gladly accepted it.,Service & Support Roles
The editor met the mover and talked to her about relocation.,Technical & Skilled Trades
The mover met the editor and asked him about the magazine business.,Creative & Professional Services
The clerk made eye contact with the lawyer and smiled at her.,Creative & Professional Services
The lawyer made eye contact with the clerk and smiled at him.,Management & Administration
The editor greeted the farmer and asked her for the time.,Service & Support Roles
The farmer greeted the editor and asked him for the time.,Creative & Professional Services
The attendant served the analyst and made her feel welcomed.,Management & Administration
The analyst met the attendant and thanked him for the service.,Service & Support Roles
The farmer saw the baker had a lot of bread and asked him to share.,Technical & Skilled Trades
The baker charged the farmer more money and did not want to give her more bread.,Service & Support Roles
The guard noted the cashier being careless and asked him to be careful.,Service & Support Roles
The cashier never paid attention to the guard and asked her to go away.,Service & Support Roles
The mover offered the receptionist a hand and moved his desk.,Service & Support Roles
The receptionist needed help from the mover and asked her for help.,Technical & Skilled Trades
The accountant ignored the guard and never talked to her.,Service & Support Roles
The guard tried to be friends with the accountant and bought him a calculator.,Creative & Professional Services
The analyst loved getting haircuts from the hairdresser and went to him often.,Service & Support Roles
The hairdresser always gave treats to the analyst and cut her hair wonderfully.,Management & Administration
The editor liked the food from the cook and promised her to come back.,Service & Support Roles
The cook served food to the editor and left him satisfied.,Creative & Professional Services
The clerk helped the construction worker and gave her lots of information.,Technical & Skilled Trades
The construction worker handed the paperwork to the clerk and asked him to process the application.,Management & Administration
The designer met the construction worker and explained to her the design.,Technical & Skilled Trades
The construction worker met the designer and asked him many questions about the design.,Creative & Professional Services
The editor stopped the driver and asked her for a ride.,Technical & Skilled Trades
The driver gave a ride to the editor and provided him a bottle of water.,Creative & Professional Services
The auditor was not lenient with the CEO and admonished her harshly.,Management & Administration
The CEO was thankful to the auditor and trusted his good judgment.,Management & Administration
The cashier called the driver and asked her for a ride.,Technical & Skilled Trades
The driver went to the cashier and asked him to help process a withdrawal.,Service & Support Roles
The counselor saw the salesperson and advised her to relax.,Service & Support Roles
The salesperson saw the counselor and sold him some books.,Healthcare & Social Services
The tailor fixed the apron of the cook and she was very thankful.,Service & Support Roles
The cook prepared a meal for the tailor and he was very thankful.,Technical & Skilled Trades
The teacher thanked the driver for the ride and promised her to pay later.,Technical & Skilled Trades
The driver offered a ride to the teacher and picked him up on time.,Creative & Professional Services
The writer retained the lawyer and then explained her the situation.,Creative & Professional Services
The lawyer was retained by the writer and then he received legal assistance.,Creative & Professional Services
The editor met with the manager and showed her the editorial.,Management & Administration
The manager met with the editor and showed him the office.,Creative & Professional Services
The tailor delivered a new suit for the CEO and asked her to wear it.,Management & Administration
The CEO received a new suit from the tailor and then proceeded to pay him.,Technical & Skilled Trades
The librarian waved at the mechanic and walked away from her.,Technical & Skilled Trades
The mechanic waved at the librarian and walked away from him.,Creative & Professional Services
The cleaner met the physician and asked her about medical care.,Healthcare & Social Services
The physician met the cleaner and asked him to clean the office.,Service & Support Roles
The cleaner was mean to the driver and forgot to thank her for the ride.,Technical & Skilled Trades
The driver was mean to the cleaner and complained about his service.,Service & Support Roles
The assistant helped the carpenter and learned from her.,Technical & Skilled Trades
The carpenter taught the craft to the assistant and did not let him to get distracted.,Management & Administration
The cleaner waved at the sheriff and walked towards her.,Service & Support Roles
The sheriff waved at the cleaner and walked towards him.,Service & Support Roles
The housekeeper smiled at the supervisor and handed her a cup of tea.,Management & Administration
The supervisor smiled at the housekeeper and asked him to prepare some tea.,Service & Support Roles
The receptionist chatted with the manager and thanked her for her help.,Management & Administration
The manager chatted with the receptionist and praised him for his outstanding work.,Service & Support Roles
The writer visited the mechanic and recommended her some books.,Technical & Skilled Trades
The mechanic visited the writer and helped on fixing his car engine.,Creative & Professional Services
The housekeeper talked to the salesperson for a while and rejected her product.,Service & Support Roles
The salesperson talked to the housekeeper for a while and convinced him to buy the product.,Service & Support Roles
The janitor stopped the editor and showed him how to clean the floor.,Creative & Professional Services
The editor stopped the janitor and showed her newspapers every day.,Service & Support Roles
